-1;0;65;-1;-1;-1;-1;272;357;457;353;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;484;406;406;-1;406;406;406;-1;-1;-1;-1;-1;-1;-1;-1
0;-1;65;-1;-1;-1;-1;272;357;457;353;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;484;406;406;-1;406;406;406;-1;-1;-1;-1;-1;-1;-1;-1
40;40;-1;156;156;156;156;132;695;-1;457;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;283;523;523;-1;523;523;523;-1;-1;-1;-1;-1;-1;-1;-1
217;217;150;-1;0;0;0;103;-1;-1;250;947;947;-1;1016;1016;865;865;1036;1036;1036;-1;-1;-1;392;-1;-1;-1;-1;-1;-1;-1;252;204;502;502;952;502;502;502;516;750;-1;-1;-1;-1;-1;-1
217;217;150;0;-1;0;0;103;-1;-1;250;947;947;-1;1016;1016;865;865;1036;1036;1036;-1;-1;-1;392;-1;-1;-1;-1;-1;-1;-1;252;204;502;502;952;502;502;502;516;750;-1;-1;-1;-1;-1;-1
217;217;150;0;0;-1;0;103;-1;-1;250;947;947;-1;1016;1016;865;865;1036;1036;1036;-1;-1;-1;392;-1;-1;-1;-1;-1;-1;-1;252;204;502;502;952;502;502;502;516;750;-1;-1;-1;-1;-1;-1
217;217;150;0;0;0;-1;103;-1;-1;250;947;947;-1;1016;1016;865;865;1036;1036;1036;-1;-1;-1;392;-1;-1;-1;-1;-1;-1;-1;252;204;502;502;952;502;502;502;516;750;-1;-1;-1;-1;-1;-1
194;194;118;107;107;107;107;-1;216;-1;194;833;833;-1;899;899;701;701;919;919;919;-1;-1;-1;451;-1;-1;-1;-1;-1;-1;-1;383;270;649;649;1040;649;649;649;285;-1;-1;-1;-1;-1;-1;-1
223;223;451;-1;-1;-1;-1;608;-1;100;30;946;946;-1;566;566;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
323;323;-1;-1;-1;-1;-1;-1;100;-1;130;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
