-1;349;349;408;408;408;156;156;179;-1;-1;-1;-1;-1;145;145;145;36;36;36;36;100;41;41;95;95;95;95;95;95;95;95;95;95;28;240;240;240;240;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;698;698;698;698;-1
654;-1;0;2;2;2;257;257;273;-1;-1;-1;-1;-1;549;549;549;725;725;725;725;-1;796;796;183;183;183;183;183;183;183;183;183;183;489;838;838;838;838;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;852;852;65;65;65;65;462
654;0;-1;2;2;2;257;257;273;-1;-1;-1;-1;-1;549;549;549;725;725;725;725;-1;796;796;183;183;183;183;183;183;183;183;183;183;489;838;838;838;838;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;852;852;65;65;65;65;462
769;4;4;-1;0;0;324;324;339;-1;-1;-1;-1;-1;647;647;647;849;849;849;849;-1;898;898;248;248;248;248;248;248;248;248;248;248;591;968;968;968;968;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;777;777;43;43;43;43;417
769;4;4;0;-1;0;324;324;339;-1;-1;-1;-1;-1;647;647;647;849;849;849;849;-1;898;898;248;248;248;248;248;248;248;248;248;248;591;968;968;968;968;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;777;777;43;43;43;43;417
769;4;4;0;0;-1;324;324;339;-1;-1;-1;-1;-1;647;647;647;849;849;849;849;-1;898;898;248;248;248;248;248;248;248;248;248;248;591;968;968;968;968;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;777;777;43;43;43;43;417
219;165;165;200;200;200;-1;0;40;209;-1;-1;-1;-1;96;96;96;232;232;232;232;509;192;192;67;67;67;67;67;67;67;67;67;67;135;251;251;251;251;279;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;383;383;383;383;799
219;165;165;200;200;200;0;-1;40;209;-1;-1;-1;-1;96;96;96;232;232;232;232;509;192;192;67;67;67;67;67;67;67;67;67;67;135;251;251;251;251;279;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;383;383;383;383;799
241;179;179;214;214;214;41;41;-1;258;-1;-1;-1;-1;76;76;76;257;257;257;257;534;211;211;85;85;85;85;85;85;85;85;85;85;156;277;277;277;277;296;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;395;395;395;395;772
-1;-1;-1;-1;-1;-1;208;208;868;-1;99;99;99;99;303;303;303;624;624;624;624;-1;-1;-1;428;428;428;428;428;428;428;428;428;428;-1;502;502;502;502;63;671;671;671;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;665
-1;-1;-1;-1;-1;-1;267;267;981;81;-1;0;0;0;223;223;223;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;396;396;396;396;105;353;353;353;-1;-1;-1;282;282;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;887
-1;-1;-1;-1;-1;-1;267;267;981;81;0;-1;0;0;223;223;223;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;396;396;396;396;105;353;353;353;-1;-1;-1;282;282;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;887
-1;-1;-1;-1;-1;-1;267;267;981;81;0;0;-1;0;223;223;223;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;396;396;396;396;105;353;353;353;-1;-1;-1;282;282;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;887
