-1;195;289;195;195;195;189;189;203;203;203;203;203;336;311;311;311;311;311;311;-1;233;894;199;199;707;678;1556;755;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;366;707
150;-1;34;0;0;0;0;0;39;39;39;39;39;78;35;35;35;35;35;35;1242;686;1728;307;307;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;570;-1
208;28;-1;28;28;28;29;29;224;224;224;224;224;240;36;36;36;36;36;36;408;105;-1;408;408;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;698;-1
150;0;34;-1;0;0;0;0;39;39;39;39;39;78;35;35;35;35;35;35;1242;686;1728;307;307;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;570;-1
150;0;34;0;-1;0;0;0;39;39;39;39;39;78;35;35;35;35;35;35;1242;686;1728;307;307;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;570;-1
150;0;34;0;0;-1;0;0;39;39;39;39;39;78;35;35;35;35;35;35;1242;686;1728;307;307;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;570;-1
147;0;36;0;0;0;-1;0;40;40;40;40;40;82;38;38;38;38;38;38;1255;685;1718;300;300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;559;-1
147;0;36;0;0;0;0;-1;40;40;40;40;40;82;38;38;38;38;38;38;1255;685;1718;300;300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;559;-1
135;35;234;35;35;35;36;36;-1;0;0;0;0;22;35;35;35;35;35;35;1482;971;-1;372;372;-1;-1;809;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;644;-1
135;35;234;35;35;35;36;36;0;-1;0;0;0;22;35;35;35;35;35;35;1482;971;-1;372;372;-1;-1;809;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;644;-1
