-1;300;-1;654;926;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
305;-1;963;117;237;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
952;493;-1;704;686;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
678;123;-1;-1;41;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
946;237;1155;34;-1;804;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;71;1721;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;73;-1;1777;-1;-1;-1;-1;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;2034;2020;-1;634;634;634;634;634;634;634;634;67
-1;-1;-1;-1;-1;-1;-1;685;-1;0;0;0;0;0;0;0;308
-1;-1;-1;-1;-1;-1;-1;685;0;-1;0;0;0;0;0;0;308
-1;-1;-1;-1;-1;-1;-1;685;0;0;-1;0;0;0;0;0;308
-1;-1;-1;-1;-1;-1;-1;685;0;0;0;-1;0;0;0;0;308
-1;-1;-1;-1;-1;-1;-1;685;0;0;0;0;-1;0;0;0;308
-1;-1;-1;-1;-1;-1;-1;685;0;0;0;0;0;-1;0;0;308
-1;-1;-1;-1;-1;-1;-1;685;0;0;0;0;0;0;-1;0;308
-1;-1;-1;-1;-1;-1;-1;685;0;0;0;0;0;0;0;-1;308
-1;-1;-1;-1;-1;-1;-1;77;293;293;293;293;293;293;293;293;-1
