-1;0;0;0;0;0;1674;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2951;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;60;158;128;128;128;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;-1;0;0;0;0;1674;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2951;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;60;158;128;128;128;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;0;-1;0;0;0;1674;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2951;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;60;158;128;128;128;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;0;0;-1;0;0;1674;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2951;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;60;158;128;128;128;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;0;0;0;-1;0;1674;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2951;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;60;158;128;128;128;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;0;0;0;0;-1;1674;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2951;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;60;158;128;128;128;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
1331;1331;1331;1331;1331;1331;-1;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;440;339;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;388;309;309;1628;740;354;354;354;-1;-1;-1;-1;-1;-1;-1;-1;1456;1456;1456;1456;1456;1456;-1;1456
-1;-1;-1;-1;-1;-1;669;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
-1;-1;-1;-1;-1;-1;669;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;56;861;-1;861;913;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;1455;1455;1455;-1;1455
