-1;0;536;18;151;151;151;151;151;151;151;151;-1;-1;-1;-1;-1;-1;-1;-1;-1;392;816;610;-1;498;498;498
0;-1;536;18;151;151;151;151;151;151;151;151;-1;-1;-1;-1;-1;-1;-1;-1;-1;392;816;610;-1;498;498;498
544;544;-1;673;685;685;685;685;685;685;685;685;-1;917;917;917;917;917;917;917;-1;204;979;-1;-1;-1;-1;-1
29;29;674;-1;86;86;86;86;86;86;86;86;-1;-1;-1;-1;-1;-1;-1;-1;-1;408;690;469;-1;329;329;329
295;295;-1;166;-1;0;0;0;0;0;0;0;1824;-1;-1;-1;-1;-1;-1;-1;1824;242;292;154;615;273;273;273
295;295;-1;166;0;-1;0;0;0;0;0;0;1824;-1;-1;-1;-1;-1;-1;-1;1824;242;292;154;615;273;273;273
295;295;-1;166;0;0;-1;0;0;0;0;0;1824;-1;-1;-1;-1;-1;-1;-1;1824;242;292;154;615;273;273;273
295;295;-1;166;0;0;0;-1;0;0;0;0;1824;-1;-1;-1;-1;-1;-1;-1;1824;242;292;154;615;273;273;273
295;295;-1;166;0;0;0;0;-1;0;0;0;1824;-1;-1;-1;-1;-1;-1;-1;1824;242;292;154;615;273;273;273
295;295;-1;166;0;0;0;0;0;-1;0;0;1824;-1;-1;-1;-1;-1;-1;-1;1824;242;292;154;615;273;273;273
295;295;-1;166;0;0;0;0;0;0;-1;0;1824;-1;-1;-1;-1;-1;-1;-1;1824;242;292;154;615;273;273;273
295;295;-1;166;0;0;0;0;0;0;0;-1;1824;-1;-1;-1;-1;-1;-1;-1;1824;242;292;154;615;273;273;273
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;107;107;107;107;107;107;107;0;1323;981;1511;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;63;-1;0;0;0;0;0;0;63;1024;1135;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;63;0;-1;0;0;0;0;0;63;1024;1135;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;63;0;0;-1;0;0;0;0;63;1024;1135;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;63;0;0;0;-1;0;0;0;63;1024;1135;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;63;0;0;0;0;-1;0;0;63;1024;1135;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;63;0;0;0;0;0;-1;0;63;1024;1135;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;63;0;0;0;0;0;0;-1;63;1024;1135;-1;-1;-1;-1;-1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;107;107;107;107;107;107;107;-1;1323;981;1511;-1;-1;-1;-1
579;579;325;520;245;245;245;245;245;245;245;245;879;815;815;815;815;815;815;815;879;-1;289;355;-1;1024;1024;1024
-1;-1;-1;-1;535;535;535;535;535;535;535;535;929;-1;-1;-1;-1;-1;-1;-1;929;483;-1;62;462;944;944;944
-1;-1;-1;914;302;302;302;302;302;302;302;302;1398;-1;-1;-1;-1;-1;-1;-1;1398;465;50;-1;277;522;522;522
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;329;-1;683;683;683
-1;-1;-1;430;274;274;274;274;274;274;274;274;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;734;400;350;-1;0;0
-1;-1;-1;430;274;274;274;274;274;274;274;274;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;734;400;350;0;-1;0
-1;-1;-1;430;274;274;274;274;274;274;274;274;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;734;400;350;0;0;-1
