-1;0;274;274;274;273;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;734;734;734;734;1234;1234;1234;1234;1234;1234;1234;1234;1234;1234;1234;1234;1234;1234;734;734;734;734;734;734;734;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;-1;274;274;274;273;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;1909;734;734;734;734;1234;1234;1234;1234;1234;1234;1234;1234;1234;1234;1234;1234;1234;1234;734;734;734;734;734;734;734;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
273;273;-1;0;0;265;335;287;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;292;292;292;292;819;819;819;819;819;819;819;819;819;819;819;819;819;819;292;292;292;292;292;292;292;107;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
273;273;0;-1;0;265;335;287;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;292;292;292;292;819;819;819;819;819;819;819;819;819;819;819;819;819;819;292;292;292;292;292;292;292;107;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
273;273;0;0;-1;265;335;287;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;1013;292;292;292;292;819;819;819;819;819;819;819;819;819;819;819;819;819;819;292;292;292;292;292;292;292;107;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
165;165;176;176;176;-1;157;244;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;888;888;888;888;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;888;888;888;888;888;888;888;435;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
552;552;174;174;174;149;-1;17;504;504;504;473;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;189;473;491;503;-1;-1;-1;-1;-1;-1;-1
667;667;165;165;165;244;20;-1;338;338;338;317;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1455;1455;1455;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1915;1915;1915;1915;1915;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;743;743;743;743;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;743;743;743;743;743;743;743;108;317;340;386;-1;-1;-1;-1;-1;-1;-1
-1;-1;685;685;685;1135;514;340;-1;0;0;6;533;514;514;1086;375;375;-1;-1;-1;-1;514;375;375;375;393;393;393;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;917;917;917;917;917;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;979;979;979;979;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;979;979;979;979;979;979;979;266;6;22;122;-1;-1;-1;-1;-1;-1;-1
-1;-1;685;685;685;1135;514;340;0;-1;0;6;533;514;514;1086;375;375;-1;-1;-1;-1;514;375;375;375;393;393;393;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;917;917;917;917;917;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;979;979;979;979;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;979;979;979;979;979;979;979;266;6;22;122;-1;-1;-1;-1;-1;-1;-1
